ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
A124,AN124 100,D-18T,4,A124,,J,1ZM001
A148,AN148 100E,D-436-148,2,A148,,J,13ZM004
A178,AN178,D-436-148FM,2,E190,,J,13ZM003
A19N,A319 153N CJ,LEAP-1A26,2,A20N,,J,01P20CM128
A20N,A320 251N,LEAP-1A26,2,A20N,A320-271N,J,01P20CM128
A21N,A321 271NX,PW1133G-JM,2,A21N,,J,01P22PW167
A225,AN225,D-18T,6,A124,,J,1ZM001
A306,A300B4 622R F,PW4158,2,A306,A300B4-622,J,1PW048
A30B,A300B4 203 F,CF6-50C2,2,A30B,A300B4-203,J,3GE074
A310,A310 308 F,CF6-80C2A8,2,A310,A310-308,J,2GE040
A318,A318 111,CFM56-5B8/P,2,A318,A318-112,J,7CM048
A319,A319 111,CFM56-5B5/P,2,A319,A319-114,J,3CM027
A320,A320 214,CFM56-5B4/P,2,A320,A320-214,J,3CM026
A321,A321 231 SL,V2533-A5,2,A321,A321-131,J,3IA008
A332,A330 203,CF6-80E1A3,2,A332,A330-203,J,5GE085
A333,A330 343,TRENT 772B-60,2,A333,A330-341,J,01P14RR102
A337,A330 743L,TRENT 772B-60,2,A3ST,A300B4-608ST,J,01P14RR102
A338,A330 841,TRENT 7000-72,2,A339,,J,04P24RR146
A339,A330 941,TRENT 7000-72,2,A339,,J,04P24RR146
A342,A340 211,CFM56-5C2,4,A342,A340-213,J,1CM010
A343,A340 313,CFM56-5C4,4,A343,A340-313,J,2CM015
A345,A340 541,TRENT 553,4,A345,A340-541,J,8RR044
A346,A340 642HGW,TRENT 556-61,4,A346,A340-642,J,8RR045
A359,A350 941,TRENT XWB-84,2,A359,A350-941,J,01P18RR124
A35K,A350 1041,TRENT XWB-97,2,A35K,,J,01P21RR125
A388,A380 861,GP7270,4,A388,A380-861,J,9EA001
A3ST,A300B4 608ST,CF6-80C2A8,2,A3ST,A300B4-608ST,J,2GE040
A743,AN74TK 300D,D-36-3A,2,F28,,J,13ZM002
AJ27,ARJ21 700,CF34-10A,2,A148,,J,01P11GE202
AN72,AN74TK 200A,D-36-3A,2,F28,,J,13ZM002
ASTR,IAI1125SPX ASTRA,TFE731-3C-200G,2,G150,,J,1AS002
B37M,B737 7,LEAP-1B,2,B38M,,J,01P20CM136
B38M,B737 8 200,LEAP-1B,2,B38M,,J,01P20CM136
B39M,B737 9,LEAP-1B,2,B39M,,J,01P20CM140
B3XM,B737 10,LEAP-1B,2,B39M,,J,01P20CM140
B461,BAE146 100,LF502R-5,4,B462,,J,1TL003
B462,BAE146 200,LF502R-5,4,B462,,J,1TL003
B463,BAE146 301ARA,LF502R-5,4,B463,,J,1TL003
B701,B707 138B,JT3D-1/Q,4,B703,,J,1PW001
B703,B707 E8C,JT3D-3B,4,B703,,J,1PW001
B712,B717 2BL,BR715A,2,B712,B712HGW21,J,4BR005
B721,B727 21,JT8D-7B/Q,3,B722,,J,8PW085
