ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
01P02GE186,B744,B747 430,CF6-80C2B1F,4,B744,B744GE,J
01P02GE188,B762,B767 2EY TANKER,CF6-80C2B6F,2,B762,B762GE50,J
01P02GE188,B763,B767 346F ER,CF6-80C2B6F,2,B763,B763ERGE61,J
01P03GE187,B744,B747 4EVERF,CF6-80C2B5F,4,B744,B744ERGE,J
01P04BR013,GL5T,BD700 1A11 GLOBAL 5000,BR710A2-20,2,GL5T,,J
01P04BR013,GLEX,BD700 1A10 GLOBAL EXPRESS 6000,BR710A2-20,2,GLEX,,J
01P05GE189,CL60,CL605,CF34-3B,2,CL60,,J
01P05GE189,CRJ1,CL600 2B19 RJ100ER,CF34-3B1,2,CRJ1,,J
01P05GE189,CRJ2,CL600 2B19 CHALLENGER 850,CF34-3B1,2,CRJ2,,J
01P06AL028,E145,EMB145EP,AE3007A1,2,E145,EMB-145ER,J
01P06AL034,E135,EMB135LR,AE3007A3,2,E135,EMB-135LR,J
01P06AL034,E145,EMB145LI,AE3007A3,2,E145,EMB-145ER,J
01P06AL034,E35L,LEGACY 650,AE3007A3,2,E35L,EMB-135BJ-Legacy600,J
01P07PW145,HA4T,HAWKER 4000 HORIZON,PW308A,2,HA4T,,J
01P07PW146,F2TH,FALCON 2000LX,PW308C,2,F2TH,,J
01P08CM104,A321,A321 211 SL,CFM56-5B3,2,A321,A321-111,J
01P08CM105,A320,A320 214 SL,CFM56-5B4/3,2,A320,A320-214,J
01P08CM106,A319,A319 111,CFM56-5B5/3,2,A319,A319-114,J
01P08CM108,A319,A319 115X,CFM56-5B7,2,A319,A319-114,J
01P08GE190,CRJ9,CL600 2D24 RJ900NG,CF34-8C5,2,CRJ9,,J
01P08GE192,CRJ7,CL600 2C10 RJ702,CF34-8C5B1,2,CRJ9,,J
01P08GE193,CRJX,CL600 2E25 RJ1000,CF34-8C5A2,2,CRJX,,J
01P08GE197,E170,EMB170 100LR,CF34-8E5,2,E170,EMB-170AR,J
01P08GE197,E75L,EMB170 200LR SW,CF34-8E5,2,E75L,EMB-175LR,J
01P08GE197,E75S,EMB170 200STD,CF34-8E5,2,E75S,EMB-175STD,J
01P10AL033,E35L,LEGACY 650,AE3007A2,2,E35L,EMB-135BJ-Legacy600,J
01P11BR016,GL7T,BD700 2A12 GLOBAL 7500,GE PASSPORT,2,GLEX,,J
01P11BR016,GLF6,G650 ER,BR725,2,GLEX,,J
01P11CM112,B737,B737 7K2,CFM56-7B22E,2,B737,B737W24,J
01P11CM114,B737,B737 76J,CFM56-7B24E,2,B737,B737W24,J
01P11CM114,B738,B737 85P,CFM56-7B24E,2,B738,B738W26,J
01P11CM116,B737,B737 700 NE3 BBJ,CFM56-7B26E,2,B737,B737W24,J
01P11CM116,B738,B737 800WL,CFM56-7B26E,2,B738,B738W26,J
01P11CM116,B739,B737 9GJ ER,CFM56-7B26E,2,B739,B739ERW26,J
01P11CM121,B737,B737 7D6 C,CFM56-7BE,2,B737,B737W24,J
01P11CM121,B738,B737 8K2,CFM56-7B27E,2,B738,B738W26,J
01P11CM121,B739,B737 9F2 ER,CFM56-7B27E,2,B739,B739ERW26,J
01P11CM122,B738,B737 85P,CFM56-7B27/B1,2,B738,B738W26,J
01P11GE202,AJ27,ARJ21 700,CF34-10A,2,A148,,J
01P11HN012,G280,G280,HTF7250G,2,G280,,J
01P11PJ003,SU95,SSJ100 95B,SaM146-1S17,2,SU95,,J
01P11PJ004,SU95,SSJ100 95LR,SaM146-1S18,2,SU95,,J
01P14HN011,CL35,BD100 1A10 CHALLENGER 350,HTF7350,2,CL30,,J
01P14HN016,E545,LEGACY 450,HTF7500E,2,E545,,J
01P14HN016,E550,PRAETOR 600,HTF7500E,2,E550,,J
01P14RR101,A333,A330 341,TRENT 668,2,A333,A330-341,J
01P14RR102,A332,A330 243,TRENT 772B-60,2,A332,A330-243,J
01P14RR102,A333,A330 343,TRENT 772B-60,2,A333,A330-341,J
01P14RR102,A337,A330 743L,TRENT 772B-60,2,A3ST,A300B4-608ST,J
01P17GE210,B78X,B787 10,GENX-1B,2,B78X,,J
01P18HN013,C700,CESSNA 700 LONGITUDE,HTF7700L,2,C700,,J
01P18RR103,A388,A380 841,TRENT 970-84,4,A388,A380-841,J
01P18RR124,A359,A350 941,TRENT XWB-84,2,A359,A350-941,J
01P20CM127,A20N,A320 252N,LEAP-1A24,2,A20N,A320-271N,J
01P20CM128,A19N,A319 153N CJ,LEAP-1A26,2,A20N,,J
01P20CM128,A20N,A320 251N,LEAP-1A26,2,A20N,A320-271N,J
01P20CM132,A21N,A321 251NX,LEAP-1A32,2,A21N,,J
01P20CM136,B37M,B737 7,LEAP-1B,2,B38M,,J
01P20CM136,B38M,B737 8 200,LEAP-1B,2,B38M,,J
01P20CM140,B39M,B737 9,LEAP-1B,2,B39M,,J
01P20CM140,B3XM,B737 10,LEAP-1B,2,B39M,,J
01P20PW191,E295,EMB190 400STD,PW1923G,2,B736,,J
01P21GE216,B77L,B777 2DZ LR,GE90-110B1,2,B77L,B772LR,J
01P21GE217,B772,B777 246 ER,GE90-115B,2,B772,B772RR92,J
01P21GE217,B779,B777 9,GE9X-105B1A,2,B77W,,J
01P21GE217,B77L,B777 F,GE90-115B1L,2,B77L,B772LR,J
01P21GE217,B77W,B777 300 ER,GE90-115B,2,B77W,B773ERGE115B,J
01P21RR125,A35K,A350 1041,TRENT XWB-97,2,A35K,,J
01P22PW141,FA5X,FALCON 5X,SILVERCREST,2,GLF2,,J
01P22PW141,FA6X,FALCON 6X,PW814GA,2,GLF5,,J
01P22PW141,GA5C,G500,PW814GA,2,GLF5,,J
01P22PW142,GA6C,G600,PW815GA,2,GLF5,,J
01P22PW160,A20N,A320 272N,PW1124G-JM,2,A20N,A320-271N,J
01P22PW163,A20N,A320 271N,PW1127G-JM,2,A20N,A320-271N,J
01P22PW165,A21N,A321 272NX,PW1130G-JM,2,A21N,,J
01P22PW167,A21N,A321 271NX,PW1133G-JM,2,A21N,,J
01P22PW169,MRJ9,MRJ 90 STD,PW1217G,2,A148,,J
01P22PW175,A20N,MC 21 300,PW1431G,2,A20N,,J
02P23RR128,B788,B787 8,TRENT 1000,2,B788,B788RR67,J
02P23RR128,B789,B787 9,TRENT 1000,2,B789,B789RR74,J
02P23RR128,B78X,B787 10,TRENT 1000,2,B78X,,J
03P15PW193,FA8X,FALCON 8X,PW307D,3,FA7X,,J
03P16PW192,FA7X,FALCON 7X,PW307A,3,FA7X,,J
03P16PW192,LJ60,LEARJET 60,PW305A,2,LJ60,,J
04P20PW196,BCS1,CS100,PW1524G,2,B736,,J
04P20PW197,BCS3,CS300,PW1521G,2,A318,,J
04P20PW200,E290,EMB190 300STD,PW1919G,2,E290,,J
04P20PW200,E295,EMB190 400STD,PW1919G,2,B736,,J
04P24RR146,A338,A330 841,TRENT 7000-72,2,A339,,J
04P24RR146,A339,A330 941,TRENT 7000-72,2,A339,,J
06P26RR149,GA7C,G700,Pearl,2,GLEX,,J
06P26RR149,GA8C,G800,Pearl,2,GLEX,,J
10PW098,B772,B777 26K ER,PW4084D,2,B772,B772RR92,J
10PW099,B772,B777 222 ER,PW4090,2,B772,B772RR92,J
10PW099,B773,B777 346,PW4090,2,B773,B773RR92,J
10PW099,B77W,B777 381 ER,PW4090,2,B77W,B773ERGE115B,J
11GE139,B748,B747 830,GENX-2B67,4,B748,B748F,J
11GE142,E190,EMB190 100STD,CF34-10E,2,E190,EMB-190STD,J
11GE144,E190,EMB190 100LR,CF34-10E,2,E190,EMB-190LR,J
11GE144,E195,EMB190 200LR,CF34-10E5A1,2,E195,EMB-195LR,J
11HN003,CL30,BD100 1A10 CHALLENGER 300,HTF7000,2,CL30,,J
11RR048,GLF4,G450,TAY 611-8C,2,CRJ9,,J
12GE150,B788,B787 8,GENX-64B,2,B788,B788GE67,J
12GE150,B789,B787 9,GENX-64B,2,B789,B789GE75,J
